Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,105283491089362","-0,0747974936088496","0,0720560356221441",0,0,0,"9,57913203645447","0,0304260038935618","9,44083492294534E-06","-0,000380191192485916","0,0471873448280596","7,14611049157652E-07","0,0403438211255412",0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/base_link.STL,"0,780392156862745","0,8","0,788235294117647",1,0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/base_link.STL,,link0-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,"0,00572305394703132","0,00265468563181887","0,07550875863073",0,0,0,"8,45286215129813","0,0476022498616155","0,0046357398431065","0,000433989974690969","0,0384660007274197","-0,000174868381419662","0,0363031349606012",0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l1.STL,"0,780392156862745","0,8","0,788235294117647",1,0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l1.STL,,link1-1,link1,Axis_j13,j1,revolute,"-0,078905","-0,074803","0,15815",0,"-0,017453",0,base_link,0,0,1,0,0,"-2,7453","3,1888",,,,,,,,
l2,"0,0330351324578218","-0,110024058313502","0,00211568322506046",0,0,0,"6,55953315002978","0,0736114896732282","0,0127315502901848","0,00502097661391875","0,0211742478294637","0,0013074234187404","0,0716132422818738",0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l2.STL,"0,780392156862745","0,796078431372549","0,788235294117647",1,0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l2.STL,,link2_580-1,Origin_j2,j2,j2,continuous,0,0,"0,1775","-1,5708","-0,21645","2,9548",l1,"0,53585","0,11783","-0,83605",,,,,,,,,,,,
l3,"0,00615223764918336","-0,00537758298118202","0,0496803044207493",0,0,0,"2,86220192591443","0,00441738632103778","0,000350530028062172","1,90998630024514E-05","0,00487160500741025","-2,30478869705661E-05","0,0059901783669827",0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l3.STL,,link3_580-1,link3,j3,j3,continuous,"0,031007","-0,26893","0,039981","-3,1416","-0,58075","0,21645",l2,0,0,1,,,,,,,,,,,,
l4,"0,00242926853281289","-0,000509824913846435","0,116310680318752",0,0,0,"3,89100991021781","0,018613433861176","-0,000155504657462431","0,000145978743861964","0,0175184111032994","0,000158188476271021","0,00525764583572195",0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l4.STL,,link4_580-1,link4,j4,j4,revolute,"-0,062356","0,040055","0,0485","2,8023","-1,5708","3,041",l3,0,0,1,0,0,"-3,4761","2,8071",,,,,,,,
l5,"-0,000543297924133823","0,0129323438733311","0,0136708003755951",0,0,0,"0,000330181881227886","2,90532047410457E-07","3,68743103233192E-09","2,85505526602895E-10","2,03474589194246E-07","-6,75081324979404E-09","3,19916580648221E-07",0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l5.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l5.STL,,link5_580-1,Koordinatensystem3,axis_j5,j5,revolute,"-0,0020854","-0,015149","0,2265","1,5708","0,2882","3,0066",l4,0,0,1,0,0,"-2,8881","1,3007",,,,,,,,
l6,"-0,017903","0,00035803","0,23098",0,0,0,"2,6332","0,013315","-8,8583E-05","0,0021755","0,0089519","-4,5071E-05","0,010571",0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l6.STL,1,0,0,1,0,0,0,0,0,0,package://IRB1100_xistera_right/meshes/l6.STL,,SCHUNK_0302308_SWA_005_000_000_000_000_000_000_000_0__0_0ohne-1/SCHUNK_0302308_SWA_005_000_000_000_000_000_000_000_0__0_0ohne_3-1;SCHUNK_0302307_SWK_005_000_000_000_000_000_000_000_0__0_0ohne-1/SCHUNK_0302307_SWK_005_000_000_000_000_000_000_000_0__0_0ohne_5-1;JaiAlai-cut-1;SCHUNK_0302307_SWK_005_000_000_000_000_000_000_000_0__0_0ohne-1/SCHUNK_0302307_SWK_005_000_000_000_000_000_000_000_0__0_0ohne_3-1;Flanschadapter_Schunk_IRB1100-1,Koordinatensystem1,axis_j6,j6,continuous,"-0,0027076","0,063943","0,0155","1,5708","-0,020207","-3,0993",l5,0,0,1,0,0,"-2,8881","2,8881",,,,,,,,
